"date","year","month","day","5427003"
1979-01-01,1979,1,1,26.384673
1979-01-02,1979,1,2,27.037617
1979-01-03,1979,1,3,28.541514
1979-01-04,1979,1,4,26.900376
1979-01-05,1979,1,5,25.590122
1979-01-06,1979,1,6,26.409794
1979-01-07,1979,1,7,25.859534
1979-01-08,1979,1,8,26.051976
1979-01-09,1979,1,9,26.668091
1979-01-10,1979,1,10,26.418545
1979-01-11,1979,1,11,25.455761
1979-01-12,1979,1,12,23.910444
1979-01-13,1979,1,13,26.303923
1979-01-14,1979,1,14,28.101003
1979-01-15,1979,1,15,26.163961
1979-01-16,1979,1,16,24.641313
1979-01-17,1979,1,17,27.105617
1979-01-18,1979,1,18,26.544833
1979-01-19,1979,1,19,26.309401
1979-01-20,1979,1,20,26.614321
1979-01-21,1979,1,21,26.331671
1979-01-22,1979,1,22,26.308799
1979-01-23,1979,1,23,24.95315
1979-01-24,1979,1,24,26.051127
1979-01-25,1979,1,25,26.615856
1979-01-26,1979,1,26,29.538852
1979-01-27,1979,1,27,29.580654
1979-01-28,1979,1,28,28.322295
1979-01-29,1979,1,29,25.574545
1979-01-30,1979,1,30,25.53508
1979-01-31,1979,1,31,26.464528
1979-02-01,1979,2,1,27.325877
1979-02-02,1979,2,2,26.721072
1979-02-03,1979,2,3,25.709856
1979-02-04,1979,2,4,27.586151
1979-02-05,1979,2,5,27.354414
1979-02-06,1979,2,6,25.77178
1979-02-07,1979,2,7,26.262299
1979-02-08,1979,2,8,23.353436
1979-02-09,1979,2,9,24.981379
1979-02-10,1979,2,10,29.041895
1979-02-11,1979,2,11,27.33106
1979-02-12,1979,2,12,26.469537
1979-02-13,1979,2,13,25.5835
1979-02-14,1979,2,14,25.196142
1979-02-15,1979,2,15,27.493744
1979-02-16,1979,2,16,26.57678
1979-02-17,1979,2,17,26.379739
1979-02-18,1979,2,18,27.810178
1979-02-19,1979,2,19,27.415138
1979-02-20,1979,2,20,30.68115
1979-02-21,1979,2,21,29.798205
1979-02-22,1979,2,22,26.138923
1979-02-23,1979,2,23,26.772272
1979-02-24,1979,2,24,27.723247
1979-02-25,1979,2,25,29.992022
1979-02-26,1979,2,26,27.341894
1979-02-27,1979,2,27,27.457102
1979-02-28,1979,2,28,28.063376
1979-03-01,1979,3,1,25.612404
1979-03-02,1979,3,2,23.216076
1979-03-03,1979,3,3,25.157638
1979-03-04,1979,3,4,25.204951
1979-03-05,1979,3,5,24.873138
1979-03-06,1979,3,6,26.861917
1979-03-07,1979,3,7,27.888653
1979-03-08,1979,3,8,24.54469
1979-03-09,1979,3,9,25.7698
1979-03-10,1979,3,10,25.138811
1979-03-11,1979,3,11,24.061557
1979-03-12,1979,3,12,23.950952
1979-03-13,1979,3,13,26.630022
1979-03-14,1979,3,14,27.449543
1979-03-15,1979,3,15,25.826173
1979-03-16,1979,3,16,25.529776
1979-03-17,1979,3,17,24.281676
1979-03-18,1979,3,18,23.326469
1979-03-19,1979,3,19,24.787271
1979-03-20,1979,3,20,22.829387
1979-03-21,1979,3,21,19.517142
1979-03-22,1979,3,22,24.239279
1979-03-23,1979,3,23,26.472581
1979-03-24,1979,3,24,24.417294
1979-03-25,1979,3,25,24.713569
1979-03-26,1979,3,26,23.490097
1979-03-27,1979,3,27,22.888526
1979-03-28,1979,3,28,25.888466
