"date","year","month","day","5427003"
1979-01-01,1979,1,1,10.799399
1979-01-02,1979,1,2,11.299561
1979-01-03,1979,1,3,12.625748
1979-01-04,1979,1,4,12.256733
1979-01-05,1979,1,5,11.90146
1979-01-06,1979,1,6,11.969302
1979-01-07,1979,1,7,12.088105
1979-01-08,1979,1,8,12.534289
1979-01-09,1979,1,9,12.034474
1979-01-10,1979,1,10,11.594421
1979-01-11,1979,1,11,11.275208
1979-01-12,1979,1,12,10.705106
1979-01-13,1979,1,13,10.529284
1979-01-14,1979,1,14,11.922965
1979-01-15,1979,1,15,11.547742
1979-01-16,1979,1,16,11.02898
1979-01-17,1979,1,17,11.848643
1979-01-18,1979,1,18,12.343978
1979-01-19,1979,1,19,11.702496
1979-01-20,1979,1,20,11.520344
1979-01-21,1979,1,21,12.025508
1979-01-22,1979,1,22,12.104021
1979-01-23,1979,1,23,10.739515
1979-01-24,1979,1,24,10.441099
1979-01-25,1979,1,25,11.035151
1979-01-26,1979,1,26,12.632726
1979-01-27,1979,1,27,12.697284
1979-01-28,1979,1,28,12.089939
1979-01-29,1979,1,29,11.571808
1979-01-30,1979,1,30,11.605241
1979-01-31,1979,1,31,11.295242
1979-02-01,1979,2,1,11.383929
1979-02-02,1979,2,2,11.724738
1979-02-03,1979,2,3,11.306727
1979-02-04,1979,2,4,11.096174
1979-02-05,1979,2,5,11.818916
1979-02-06,1979,2,6,11.47421
1979-02-07,1979,2,7,11.017301
1979-02-08,1979,2,8,9.8491168
1979-02-09,1979,2,9,10.129108
1979-02-10,1979,2,10,10.574741
1979-02-11,1979,2,11,12.280464
1979-02-12,1979,2,12,11.000867
1979-02-13,1979,2,13,10.870702
1979-02-14,1979,2,14,10.586144
1979-02-15,1979,2,15,10.258073
1979-02-16,1979,2,16,10.950437
1979-02-17,1979,2,17,11.001436
1979-02-18,1979,2,18,11.398124
1979-02-19,1979,2,19,11.103315
1979-02-20,1979,2,20,11.949939
1979-02-21,1979,2,21,13.673458
1979-02-22,1979,2,22,12.151666
1979-02-23,1979,2,23,11.759619
1979-02-24,1979,2,24,11.716231
1979-02-25,1979,2,25,12.410838
1979-02-26,1979,2,26,11.694471
1979-02-27,1979,2,27,11.07947
1979-02-28,1979,2,28,11.418399
1979-03-01,1979,3,1,11.220842
1979-03-02,1979,3,2,9.6587988
1979-03-03,1979,3,3,9.1561673
1979-03-04,1979,3,4,10.336944
1979-03-05,1979,3,5,9.6774591
1979-03-06,1979,3,6,9.7412889
1979-03-07,1979,3,7,10.297404
1979-03-08,1979,3,8,8.8268888
1979-03-09,1979,3,9,8.8481236
1979-03-10,1979,3,10,9.6025818
1979-03-11,1979,3,11,9.3365319
1979-03-12,1979,3,12,9.1289171
1979-03-13,1979,3,13,9.4682324
1979-03-14,1979,3,14,10.768563
1979-03-15,1979,3,15,11.283768
1979-03-16,1979,3,16,10.794505
1979-03-17,1979,3,17,10.680826
1979-03-18,1979,3,18,9.5273542
1979-03-19,1979,3,19,9.4389065
1979-03-20,1979,3,20,9.5795843
1979-03-21,1979,3,21,9.2796837
1979-03-22,1979,3,22,8.4555132
1979-03-23,1979,3,23,9.5362783
1979-03-24,1979,3,24,9.8172131
1979-03-25,1979,3,25,9.9137125
1979-03-26,1979,3,26,9.4751488
1979-03-27,1979,3,27,9.1608682
1979-03-28,1979,3,28,9.2813459
1979-03-29,1979,3,29,10.614158
1979-03-30,1979,3,30,10.360248
1979-03-31,1979,3,31,11.847709
1979-04-01,1979,4,1,10.328211
1979-04-02,1979,4,2,9.3613383
1979-04-03,1979,4,3,6.4678238
1979-04-04,1979,4,4,5.279402
1979-04-05,1979,4,5,5.9071266
1979-04-06,1979,4,6,7.6497685
1979-04-07,1979,4,7,8.8104952
1979-04-08,1979,4,8,7.4362472
1979-04-09,1979,4,9,7.4993106
1979-04-10,1979,4,10,8.7224848
1979-04-11,1979,4,11,8.5161908
1979-04-12,1979,4,12,6.2560597
1979-04-13,1979,4,13,7.4481307
1979-04-14,1979,4,14,7.9255423
1979-04-15,1979,4,15,7.9185569
1979-04-16,1979,4,16,7.0911353
1979-04-17,1979,4,17,7.5609326
1979-04-18,1979,4,18,7.631143
1979-04-19,1979,4,19,7.0043065
1979-04-20,1979,4,20,7.8187219
