"date","year","month","day","4314002"
1979-01-01,1979,1,1,16.208108
1979-01-02,1979,1,2,17.586531
1979-01-03,1979,1,3,18.206166
1979-01-04,1979,1,4,17.942449
1979-01-05,1979,1,5,17.27662
1979-01-06,1979,1,6,16.173136
1979-01-07,1979,1,7,16.867492
1979-01-08,1979,1,8,16.610667
1979-01-09,1979,1,9,15.696323
1979-01-10,1979,1,10,15.387013
1979-01-11,1979,1,11,14.516593
1979-01-12,1979,1,12,13.497846
1979-01-13,1979,1,13,15.296948
1979-01-14,1979,1,14,16.388876
1979-01-15,1979,1,15,16.231239
1979-01-16,1979,1,16,17.074925
1979-01-17,1979,1,17,17.892018
1979-01-18,1979,1,18,17.081253
1979-01-19,1979,1,19,16.811801
1979-01-20,1979,1,20,17.548747
1979-01-21,1979,1,21,17.970881
1979-01-22,1979,1,22,16.887633
1979-01-23,1979,1,23,16.062937
1979-01-24,1979,1,24,16.926621
1979-01-25,1979,1,25,16.813446
1979-01-26,1979,1,26,17.355105
1979-01-27,1979,1,27,17.417221
1979-01-28,1979,1,28,17.479096
1979-01-29,1979,1,29,17.123076
1979-01-30,1979,1,30,15.535041
1979-01-31,1979,1,31,14.790426
1979-02-01,1979,2,1,15.324366
1979-02-02,1979,2,2,15.276766
1979-02-03,1979,2,3,14.718892
1979-02-04,1979,2,4,14.863336
1979-02-05,1979,2,5,14.890199
1979-02-06,1979,2,6,13.59697
1979-02-07,1979,2,7,13.931936
1979-02-08,1979,2,8,12.70896
1979-02-09,1979,2,9,13.357955
1979-02-10,1979,2,10,15.736544
1979-02-11,1979,2,11,14.145759
1979-02-12,1979,2,12,15.19942
1979-02-13,1979,2,13,14.328565
1979-02-14,1979,2,14,12.905359
1979-02-15,1979,2,15,12.907855
1979-02-16,1979,2,16,14.418121
1979-02-17,1979,2,17,14.812623
1979-02-18,1979,2,18,16.025468
1979-02-19,1979,2,19,15.094103
1979-02-20,1979,2,20,16.932362
1979-02-21,1979,2,21,19.587698
1979-02-22,1979,2,22,18.228064
1979-02-23,1979,2,23,16.454128
1979-02-24,1979,2,24,14.666389
1979-02-25,1979,2,25,15.253259
1979-02-26,1979,2,26,15.513344
