"date","year","month","day","4314002"
1979-01-01,1979,1,1,5.4204481
1979-01-02,1979,1,2,5.5657758
1979-01-03,1979,1,3,7.3254282
1979-01-04,1979,1,4,7.9822397
1979-01-05,1979,1,5,8.6689494
1979-01-06,1979,1,6,9.2282729
1979-01-07,1979,1,7,8.2185112
1979-01-08,1979,1,8,7.9236895
1979-01-09,1979,1,9,7.938302
1979-01-10,1979,1,10,6.9748901
1979-01-11,1979,1,11,6.9287174
1979-01-12,1979,1,12,5.4833062
1979-01-13,1979,1,13,5.1103198
1979-01-14,1979,1,14,5.4247245
1979-01-15,1979,1,15,6.5874561
1979-01-16,1979,1,16,7.0096492
1979-01-17,1979,1,17,7.1065698
1979-01-18,1979,1,18,9.3379796
1979-01-19,1979,1,19,8.3568158
1979-01-20,1979,1,20,7.8941648
1979-01-21,1979,1,21,7.8471568
1979-01-22,1979,1,22,6.728644
1979-01-23,1979,1,23,6.1206533
1979-01-24,1979,1,24,6.2356961
1979-01-25,1979,1,25,7.4705272
1979-01-26,1979,1,26,8.2987718
1979-01-27,1979,1,27,7.6660044
1979-01-28,1979,1,28,7.2389651
1979-01-29,1979,1,29,7.8783542
1979-01-30,1979,1,30,8.0589942
1979-01-31,1979,1,31,6.1861525
1979-02-01,1979,2,1,5.7661835
1979-02-02,1979,2,2,6.4569298
1979-02-03,1979,2,3,6.1936076
1979-02-04,1979,2,4,4.8618286
1979-02-05,1979,2,5,5.0265847
1979-02-06,1979,2,6,4.885866
1979-02-07,1979,2,7,4.1477416
1979-02-08,1979,2,8,4.6296814
1979-02-09,1979,2,9,3.7767122
1979-02-10,1979,2,10,4.9760827
1979-02-11,1979,2,11,5.5893176
1979-02-12,1979,2,12,4.6089914
1979-02-13,1979,2,13,5.0272932
1979-02-14,1979,2,14,4.3490784
1979-02-15,1979,2,15,3.3925264
1979-02-16,1979,2,16,4.6823454
1979-02-17,1979,2,17,5.0356173
1979-02-18,1979,2,18,5.4859822
1979-02-19,1979,2,19,4.9507837
1979-02-20,1979,2,20,4.6533782
1979-02-21,1979,2,21,6.5809251
1979-02-22,1979,2,22,7.856215
1979-02-23,1979,2,23,7.2033847
1979-02-24,1979,2,24,6.7226052
1979-02-25,1979,2,25,5.4259503
1979-02-26,1979,2,26,5.4512447
1979-02-27,1979,2,27,4.1333685
1979-02-28,1979,2,28,5.014812
1979-03-01,1979,3,1,7.1021256
1979-03-02,1979,3,2,6.0117045
1979-03-03,1979,3,3,5.0843989
1979-03-04,1979,3,4,4.9467963
1979-03-05,1979,3,5,5.3479162
1979-03-06,1979,3,6,5.0696549
1979-03-07,1979,3,7,4.7218801
1979-03-08,1979,3,8,3.6688637
1979-03-09,1979,3,9,3.1724642
1979-03-10,1979,3,10,3.9220447
1979-03-11,1979,3,11,4.4900059
1979-03-12,1979,3,12,3.5626063
1979-03-13,1979,3,13,3.0006602
1979-03-14,1979,3,14,4.7437205
1979-03-15,1979,3,15,5.2541828
1979-03-16,1979,3,16,5.2472425
1979-03-17,1979,3,17,5.4979348
1979-03-18,1979,3,18,5.7797236
1979-03-19,1979,3,19,6.0764107
1979-03-20,1979,3,20,5.8585755
1979-03-21,1979,3,21,5.5287622
1979-03-22,1979,3,22,4.0735702
1979-03-23,1979,3,23,4.3375354
1979-03-24,1979,3,24,4.7674863
1979-03-25,1979,3,25,4.6688715
1979-03-26,1979,3,26,3.8960627
1979-03-27,1979,3,27,2.5518766
1979-03-28,1979,3,28,2.4369191
1979-03-29,1979,3,29,3.9442888
1979-03-30,1979,3,30,4.6512101
1979-03-31,1979,3,31,4.6261702
1979-04-01,1979,4,1,3.4888973
1979-04-02,1979,4,2,2.5946158
1979-04-03,1979,4,3,1.4182001
1979-04-04,1979,4,4,-1.1684996
1979-04-05,1979,4,5,-3.1857434
1979-04-06,1979,4,6,-1.4927029
1979-04-07,1979,4,7,0.77839548
1979-04-08,1979,4,8,1.5664426
1979-04-09,1979,4,9,0.3684472
1979-04-10,1979,4,10,3.0336287
1979-04-11,1979,4,11,3.2311858
1979-04-12,1979,4,12,2.0014727
1979-04-13,1979,4,13,1.0562201
1979-04-14,1979,4,14,1.2287341
1979-04-15,1979,4,15,2.9444978
1979-04-16,1979,4,16,3.4557884
1979-04-17,1979,4,17,3.7479737
1979-04-18,1979,4,18,4.1279516
1979-04-19,1979,4,19,3.444694
1979-04-20,1979,4,20,3.6270544
1979-04-21,1979,4,21,3.5611275
1979-04-22,1979,4,22,3.7287759
1979-04-23,1979,4,23,3.4884725
1979-04-24,1979,4,24,4.1405329
1979-04-25,1979,4,25,2.9230917
1979-04-26,1979,4,26,2.8183523
1979-04-27,1979,4,27,3.462959
1979-04-28,1979,4,28,1.3982644
1979-04-29,1979,4,29,-2.2242415
1979-04-30,1979,4,30,-0.28151457
1979-05-01,1979,5,1,0.92882738
1979-05-02,1979,5,2,1.0064725
1979-05-03,1979,5,3,-1.8325923
1979-05-04,1979,5,4,-2.1235971
1979-05-05,1979,5,5,-1.2703927
1979-05-06,1979,5,6,-0.22298118
1979-05-07,1979,5,7,0.19230605
1979-05-08,1979,5,8,-1.2622083
1979-05-09,1979,5,9,0.49568322
1979-05-10,1979,5,10,1.8679432
1979-05-11,1979,5,11,-0.12591572
1979-05-12,1979,5,12,-0.59634709
1979-05-13,1979,5,13,-0.86123868
1979-05-14,1979,5,14,1.1500696
1979-05-15,1979,5,15,1.1505231
1979-05-16,1979,5,16,1.7450855
1979-05-17,1979,5,17,1.2562644
1979-05-18,1979,5,18,0.53211711
1979-05-19,1979,5,19,2.3378552
1979-05-20,1979,5,20,3.1488039
1979-05-21,1979,5,21,1.9875421
1979-05-22,1979,5,22,2.195241
1979-05-23,1979,5,23,3.5817642
1979-05-24,1979,5,24,4.3051741
1979-05-25,1979,5,25,2.4376151
1979-05-26,1979,5,26,2.0991969
1979-05-27,1979,5,27,2.8240822
1979-05-28,1979,5,28,1.1613131
1979-05-29,1979,5,29,-0.7437096
1979-05-30,1979,5,30,1.7631312
1979-05-31,1979,5,31,4.0812476
1979-06-01,1979,6,1,3.5421686
1979-06-02,1979,6,2,2.4961184
1979-06-03,1979,6,3,0.38093199
1979-06-04,1979,6,4,-0.27265341
1979-06-05,1979,6,5,-0.4251871
1979-06-06,1979,6,6,-1.0661451
1979-06-07,1979,6,7,-1.40749
1979-06-08,1979,6,8,-0.50460273
1979-06-09,1979,6,9,-0.11116782
1979-06-10,1979,6,10,-0.31037546
1979-06-11,1979,6,11,-2.0713696
1979-06-12,1979,6,12,-0.85509527
1979-06-13,1979,6,13,0.0062683393
1979-06-14,1979,6,14,0.026965515
1979-06-15,1979,6,15,-1.0042665
1979-06-16,1979,6,16,0.80785921
1979-06-17,1979,6,17,1.7517346
1979-06-18,1979,6,18,1.1151594
1979-06-19,1979,6,19,1.5191502
1979-06-20,1979,6,20,1.6912678
1979-06-21,1979,6,21,1.1471712
1979-06-22,1979,6,22,-0.59093052
1979-06-23,1979,6,23,-2.5264159
1979-06-24,1979,6,24,-1.5146222
1979-06-25,1979,6,25,1.0815721
1979-06-26,1979,6,26,1.3358501
1979-06-27,1979,6,27,1.1037676
1979-06-28,1979,6,28,1.2190057
1979-06-29,1979,6,29,0.43750843
1979-06-30,1979,6,30,-3.2648788
1979-07-01,1979,7,1,-2.5324455
1979-07-02,1979,7,2,-0.18102888
1979-07-03,1979,7,3,0.3558053
1979-07-04,1979,7,4,1.676452
1979-07-05,1979,7,5,1.6475537
1979-07-06,1979,7,6,1.0180907
1979-07-07,1979,7,7,0.78468576
1979-07-08,1979,7,8,2.5350335
1979-07-09,1979,7,9,2.7299878
