"date","year","month","day","4314002"
1979-01-01,1979,1,1,7.23277837741936
1979-02-01,1979,2,1,5.24589419285714
1979-03-01,1979,3,1,4.64650532258065
1979-04-01,1979,4,1,1.976102467
1979-05-01,1979,5,1,1.07126696741935
1979-06-01,1979,6,1,0.12457662581
1979-07-01,1979,7,1,0.754661644516129
1979-08-01,1979,8,1,0.0211852688129032
1979-09-01,1979,9,1,-1.94575026286
1979-10-01,1979,10,1,1.71064660993548
1979-11-01,1979,11,1,3.61927824333333
1979-12-01,1979,12,1,5.73456270967742
1980-01-01,1980,1,1,6.31001099677419
1980-02-01,1980,2,1,5.21534117931034
1980-03-01,1980,3,1,6.77839541612903
1980-04-01,1980,4,1,2.28458676533333
1980-05-01,1980,5,1,0.433883561258065
1980-06-01,1980,6,1,0.151735443833333
1980-07-01,1980,7,1,-1.89346074870968
1980-08-01,1980,8,1,-1.752326269
1980-09-01,1980,9,1,-0.717273858666667
1980-10-01,1980,10,1,1.04492593409677
1980-11-01,1980,11,1,2.47145262433333
1980-12-01,1980,12,1,5.29467930322581
1981-01-01,1981,1,1,5.6154201516129
1981-02-01,1981,2,1,7.31193394285714
1981-03-01,1981,3,1,4.97961595483871
1981-04-01,1981,4,1,2.73317036466667
1981-05-01,1981,5,1,1.38115490354839
1981-06-01,1981,6,1,-1.09756550873333
1981-07-01,1981,7,1,-0.839823680696774
1981-08-01,1981,8,1,-1.08570090387097
1981-09-01,1981,9,1,-0.759311771863333
1981-10-01,1981,10,1,0.553190741290323
1981-11-01,1981,11,1,3.509570216
1981-12-01,1981,12,1,5.90829301580645
1982-01-01,1982,1,1,6.32590469354839
1982-02-01,1982,2,1,5.44904665
1982-03-01,1982,3,1,4.18362991419355
1982-04-01,1982,4,1,3.919950298
1982-05-01,1982,5,1,0.324016643548387
1982-06-01,1982,6,1,-0.811596445166667
1982-07-01,1982,7,1,-0.558442479677419
1982-08-01,1982,8,1,0.312786627096774
1982-09-01,1982,9,1,0.281450391876667
1982-10-01,1982,10,1,0.517182348732258
1982-11-01,1982,11,1,3.47260389763333
1982-12-01,1982,12,1,6.48329448064516
1983-01-01,1983,1,1,7.21097046774194
1983-02-01,1983,2,1,6.78416043214286
1983-03-01,1983,3,1,6.07319363870968
1983-04-01,1983,4,1,3.62913745066667
1983-05-01,1983,5,1,-0.104107015225806
1983-06-01,1983,6,1,-2.66076261033333
1983-07-01,1983,7,1,-3.26206828032258
