"date","year","month","day","10440000"
1979-01-01,1979,1,1,14.766001
1979-01-02,1979,1,2,17.071896
1979-01-03,1979,1,3,16.764814
1979-01-04,1979,1,4,19.633865
1979-01-05,1979,1,5,20.273671
1979-01-06,1979,1,6,21.020601
1979-01-07,1979,1,7,20.799591
1979-01-08,1979,1,8,18.225865
1979-01-09,1979,1,9,18.181506
1979-01-10,1979,1,10,16.705775
1979-01-11,1979,1,11,20.001767
1979-01-12,1979,1,12,14.821824
1979-01-13,1979,1,13,14.42641
1979-01-14,1979,1,14,17.178624
1979-01-15,1979,1,15,19.201116
1979-01-16,1979,1,16,18.751968
1979-01-17,1979,1,17,17.326667
1979-01-18,1979,1,18,21.6147
1979-01-19,1979,1,19,22.465118
1979-01-20,1979,1,20,20.800763
1979-01-21,1979,1,21,18.495541
1979-01-22,1979,1,22,16.901187
1979-01-23,1979,1,23,15.614832
1979-01-24,1979,1,24,16.458012
1979-01-25,1979,1,25,19.120959
1979-01-26,1979,1,26,15.463195
1979-01-27,1979,1,27,14.931934
1979-01-28,1979,1,28,15.629246
1979-01-29,1979,1,29,17.757878
1979-01-30,1979,1,30,18.8211
1979-01-31,1979,1,31,20.458255
1979-02-01,1979,2,1,21.621359
1979-02-02,1979,2,2,22.773066
1979-02-03,1979,2,3,20.50982
1979-02-04,1979,2,4,17.339473
1979-02-05,1979,2,5,16.226498
1979-02-06,1979,2,6,14.842458
1979-02-07,1979,2,7,18.46269
1979-02-08,1979,2,8,17.51251
1979-02-09,1979,2,9,17.646401
1979-02-10,1979,2,10,17.842584
1979-02-11,1979,2,11,16.952724
1979-02-12,1979,2,12,18.48708
1979-02-13,1979,2,13,15.327743
1979-02-14,1979,2,14,15.742286
1979-02-15,1979,2,15,17.928976
1979-02-16,1979,2,16,16.708725
1979-02-17,1979,2,17,15.990455
1979-02-18,1979,2,18,17.203825
1979-02-19,1979,2,19,17.50548
1979-02-20,1979,2,20,18.138435
1979-02-21,1979,2,21,19.102697
1979-02-22,1979,2,22,16.262251
1979-02-23,1979,2,23,15.35471
1979-02-24,1979,2,24,15.009783
1979-02-25,1979,2,25,14.971541
1979-02-26,1979,2,26,15.013681
1979-02-27,1979,2,27,13.172397
1979-02-28,1979,2,28,15.716704
1979-03-01,1979,3,1,19.621546
1979-03-02,1979,3,2,15.801587
1979-03-03,1979,3,3,14.267067
1979-03-04,1979,3,4,13.509289
1979-03-05,1979,3,5,13.393584
1979-03-06,1979,3,6,11.076031
1979-03-07,1979,3,7,11.456549
1979-03-08,1979,3,8,13.309771
1979-03-09,1979,3,9,15.312708
1979-03-10,1979,3,10,17.487274
1979-03-11,1979,3,11,18.25346
1979-03-12,1979,3,12,18.952579
1979-03-13,1979,3,13,15.135175
1979-03-14,1979,3,14,14.288734
1979-03-15,1979,3,15,14.827132
1979-03-16,1979,3,16,15.009287
1979-03-17,1979,3,17,15.961435
1979-03-18,1979,3,18,16.597519
1979-03-19,1979,3,19,17.933452
1979-03-20,1979,3,20,19.991092
1979-03-21,1979,3,21,18.513606
1979-03-22,1979,3,22,16.23818
1979-03-23,1979,3,23,17.2723
1979-03-24,1979,3,24,15.272371
1979-03-25,1979,3,25,15.301615
1979-03-26,1979,3,26,16.208955
1979-03-27,1979,3,27,14.985942
1979-03-28,1979,3,28,13.123059
1979-03-29,1979,3,29,14.324937
1979-03-30,1979,3,30,15.608727
1979-03-31,1979,3,31,14.214497
1979-04-01,1979,4,1,10.635983
1979-04-02,1979,4,2,11.352973
1979-04-03,1979,4,3,12.302962
1979-04-04,1979,4,4,13.391667
1979-04-05,1979,4,5,13.030878
1979-04-06,1979,4,6,16.376146
1979-04-07,1979,4,7,15.80462
1979-04-08,1979,4,8,14.786552
1979-04-09,1979,4,9,11.70858
1979-04-10,1979,4,10,10.92803
1979-04-11,1979,4,11,12.244871
