"date","year","month","day","10440000"
1979-01-01,1979,1,1,4.3161793
1979-01-02,1979,1,2,4.5860004
1979-01-03,1979,1,3,5.0541063
1979-01-04,1979,1,4,5.0090324
1979-01-05,1979,1,5,7.7079429
1979-01-06,1979,1,6,7.6588122
1979-01-07,1979,1,7,8.5355589
1979-01-08,1979,1,8,6.9263401
1979-01-09,1979,1,9,6.0490741
1979-01-10,1979,1,10,9.1726298
1979-01-11,1979,1,11,7.9832438
1979-01-12,1979,1,12,5.6619506
1979-01-13,1979,1,13,6.1388779
1979-01-14,1979,1,14,6.3358542
1979-01-15,1979,1,15,6.0468081
1979-01-16,1979,1,16,8.0729719
1979-01-17,1979,1,17,5.9507007
1979-01-18,1979,1,18,6.2898876
1979-01-19,1979,1,19,8.0385841
1979-01-20,1979,1,20,7.3025432
1979-01-21,1979,1,21,7.3605228
1979-01-22,1979,1,22,6.6860991
1979-01-23,1979,1,23,5.7038384
1979-01-24,1979,1,24,6.3481577
1979-01-25,1979,1,25,6.9668365
1979-01-26,1979,1,26,5.2910598
1979-01-27,1979,1,27,4.5794517
1979-01-28,1979,1,28,4.8214045
1979-01-29,1979,1,29,7.0224179
1979-01-30,1979,1,30,8.1754769
1979-01-31,1979,1,31,8.4913166
1979-02-01,1979,2,1,8.5334835
1979-02-02,1979,2,2,10.544381
1979-02-03,1979,2,3,9.367001
1979-02-04,1979,2,4,8.2843836
1979-02-05,1979,2,5,5.5681655
1979-02-06,1979,2,6,4.6499705
1979-02-07,1979,2,7,5.2771811
1979-02-08,1979,2,8,7.0615623
1979-02-09,1979,2,9,6.6971971
1979-02-10,1979,2,10,6.8038177
1979-02-11,1979,2,11,6.64628
1979-02-12,1979,2,12,7.2136888
1979-02-13,1979,2,13,8.7275619
1979-02-14,1979,2,14,6.1659783
1979-02-15,1979,2,15,5.836821
1979-02-16,1979,2,16,5.6764598
1979-02-17,1979,2,17,5.5606359
1979-02-18,1979,2,18,5.9927438
1979-02-19,1979,2,19,5.4157896
1979-02-20,1979,2,20,5.2217679
1979-02-21,1979,2,21,6.0788422
1979-02-22,1979,2,22,7.8935799
1979-02-23,1979,2,23,4.8712671
1979-02-24,1979,2,24,6.0171863
1979-02-25,1979,2,25,4.7833876
1979-02-26,1979,2,26,3.9559082
1979-02-27,1979,2,27,5.253473
1979-02-28,1979,2,28,4.1830805
1979-03-01,1979,3,1,5.1075853
1979-03-02,1979,3,2,7.3094506
1979-03-03,1979,3,3,5.9220893
1979-03-04,1979,3,4,6.4441063
1979-03-05,1979,3,5,5.2435102
1979-03-06,1979,3,6,1.3582399
1979-03-07,1979,3,7,2.6155165
1979-03-08,1979,3,8,2.8331073
1979-03-09,1979,3,9,3.024362
1979-03-10,1979,3,10,4.7311944
1979-03-11,1979,3,11,6.7896636
1979-03-12,1979,3,12,7.0998191
1979-03-13,1979,3,13,7.9037543
1979-03-14,1979,3,14,5.4983751
1979-03-15,1979,3,15,5.0104499
1979-03-16,1979,3,16,4.1136808
1979-03-17,1979,3,17,4.3980189
1979-03-18,1979,3,18,5.8132625
1979-03-19,1979,3,19,5.6142704
1979-03-20,1979,3,20,6.9029118
1979-03-21,1979,3,21,5.5351192
1979-03-22,1979,3,22,7.9105314
1979-03-23,1979,3,23,6.4561317
1979-03-24,1979,3,24,6.2710748
1979-03-25,1979,3,25,5.8270022
1979-03-26,1979,3,26,3.6912837
1979-03-27,1979,3,27,4.9504803
1979-03-28,1979,3,28,5.3444676
1979-03-29,1979,3,29,3.8660313
1979-03-30,1979,3,30,5.8377428
1979-03-31,1979,3,31,3.2648449
1979-04-01,1979,4,1,2.2516374
1979-04-02,1979,4,2,1.9788216
1979-04-03,1979,4,3,0.31993253
1979-04-04,1979,4,4,1.2529296
1979-04-05,1979,4,5,2.0230111
1979-04-06,1979,4,6,3.1065012
1979-04-07,1979,4,7,3.983087
1979-04-08,1979,4,8,4.1272619
1979-04-09,1979,4,9,3.6988153
1979-04-10,1979,4,10,0.80624729
1979-04-11,1979,4,11,1.543261
1979-04-12,1979,4,12,2.3281059
1979-04-13,1979,4,13,2.9114058
1979-04-14,1979,4,14,4.2379788
1979-04-15,1979,4,15,6.7149412
1979-04-16,1979,4,16,5.8556574
1979-04-17,1979,4,17,4.9137714
1979-04-18,1979,4,18,4.1811809
1979-04-19,1979,4,19,5.0368447
1979-04-20,1979,4,20,1.8108211
1979-04-21,1979,4,21,3.122475
1979-04-22,1979,4,22,5.4998676
1979-04-23,1979,4,23,4.560034
1979-04-24,1979,4,24,4.6835896
1979-04-25,1979,4,25,5.7594066
1979-04-26,1979,4,26,5.8093401
1979-04-27,1979,4,27,6.5102426
1979-04-28,1979,4,28,4.6940338
1979-04-29,1979,4,29,2.5092497
1979-04-30,1979,4,30,2.0224582
1979-05-01,1979,5,1,2.6738803
1979-05-02,1979,5,2,0.94121481
